n,blocks,priority_ratio,iterations,seconds,transitions_per_second,feasible_rate,acceptance_rate
8192,512,1,100000,0.5696496691089123,175546.49010228922,0.93787,1.0
8192,512,4,100000,0.5722239930182695,174756.74075205595,0.93638,0.9555201947927123
8192,512,16,100000,0.5633124480955303,177521.37439547817,0.93701,0.9301288139934473
8192,512,64,100000,0.5668733848724514,176406.23579902304,0.93604,0.9215204478441092
8192,512,256,100000,0.5594472929369658,178747.84856858218,0.93867,0.9186721638062365
8192,512,1024,100000,0.5584749020636082,179059.07612050645,0.9393,0.9153944426700734
