n,priority_ratio,retained_samples,burn_sweeps,thinning_sweeps,ARE,sampling_seconds_cumulative
8192,100,100,10000,100,0.4429205795496711,0.7596199086401612
8192,100,300,10000,100,0.2601953522776636,2.2835799497552216
8192,100,1000,10000,100,0.1403841019405154,7.662076543085277
8192,100,3000,10000,100,0.08091439118071313,23.279961296822876
8192,100,10000,10000,100,0.045301974145854476,77.34425642178394
