poset,tv_to_stationary,value_Linf_err,n_samples
chain-4,0.0,0.0,40000
V-poset-4,0.003433333333333344,0.0,40000
2-level-5,0.01638159340659339,1.3322676295501878e-15,40000
ord-partition-B1B2,0.003947619047619047,4.440892098500626e-16,40000
ord-partition-3blocks,0.009222619047619049,4.440892098500626e-16,40000
